Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Product ID,Sales ID,Sales,Quantity,Discount,Profit
US-2017-109484,11/6/2017,11/12/2017,Standard Class,RB-19705,Home Office,OFF-BI-10004738,14,5.682,1,0.7,-3.788
CA-2017-161018,11/9/2017,11/11/2017,Second Class,PN-18775,Home Office,FUR-FU-10000629,19,96.53,7,0,40.5426
CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,Consumer,OFF-BI-10001721,14,51.312,3,0.2,17.9592
CA-2016-149223,9/6/2016,9/11/2016,Standard Class,ER-13855,Corporate,OFF-AP-10000358,4,77.88,6,0,22.5852
CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Home Office,OFF-PA-10003256,3,64.624,7,0.2,22.6184
CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Home Office,TEC-AC-10001767,16,95.976,3,0.2,-10.7973
CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Home Office,OFF-BI-10002609,3,1.788,3,0.8,-3.0396
CA-2016-129903,12/1/2016,12/4/2016,Second Class,GZ-14470,Consumer,OFF-PA-10004040,3,23.92,4,0,11.7208
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,TEC-AC-10001552,10,238.896,6,0.2,-26.8758
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,FUR-FU-10004006,16,102.36,3,0.2,-3.8385
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,OFF-BI-10002794,11,36.882,3,0.7,-25.8174
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,TEC-AC-10003499,1,74.112,8,0.2,17.6016
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,TEC-PH-10002844,16,27.992,1,0.2,2.0994
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,OFF-AR-10000390,6,3.304,1,0.2,1.0738
CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,Home Office,TEC-AC-10000844,17,339.96,5,0.2,67.992
CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805,Corporate,FUR-FU-10001934,13,41.96,2,0,10.9096
CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565,Consumer,OFF-AR-10000380,3,75.96,2,0,22.788
CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565,Consumer,OFF-BI-10003981,20,27.24,6,0,13.3476
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,OFF-FA-10000621,20,40.096,14,0.2,14.5348
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,OFF-EN-10002600,17,4.72,2,0.2,1.652
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,OFF-PA-10004965,3,23.976,3,0.2,7.4925
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,OFF-EN-10002504,5,130.464,6,0.2,44.0316
CA-2015-110457,3/2/2015,3/6/2015,Standard Class,DK-13090,Consumer,FUR-TA-10001768,18,787.53,3,0,165.3813
US-2015-136476,4/5/2015,4/10/2015,Standard Class,GG-14650,Corporate,OFF-BI-10003650,17,157.794,1,0.7,-115.7156
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,Consumer,FUR-FU-10002157,16,47.04,3,0,18.3456
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,Consumer,OFF-BI-10003910,10,30.84,4,0,13.878
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,Consumer,OFF-ST-10000777,17,226.56,6,0,63.4368
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,Consumer,OFF-EN-10002500,5,115.02,9,0,51.759
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,Consumer,TEC-PH-10003875,9,68.04,7,0,19.7316
US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180,Home Office,FUR-CH-10004063,10,600.558,3,0.3,-8.5794
US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165,Consumer,FUR-TA-10004534,18,617.7,6,0.5,-407.682
US-2017-107272,11/5/2017,11/12/2017,Standard Class,TS-21610,Consumer,OFF-BI-10003274,1,2.388,2,0.7,-1.8308
US-2017-107272,11/5/2017,11/12/2017,Standard Class,TS-21610,Consumer,OFF-ST-10002974,5,243.992,7,0.2,30.499
US-2016-125969,11/6/2016,11/10/2016,Second Class,LS-16975,Home Office,FUR-CH-10001146,3,81.424,2,0.2,-9.1602
US-2016-125969,11/6/2016,11/10/2016,Second Class,LS-16975,Home Office,FUR-FU-10003773,7,238.56,3,0,26.2416
US-2017-164147,2/2/2017,2/5/2017,First Class,DW-13585,Corporate,TEC-PH-10002293,17,59.97,5,0.4,-11.994
US-2017-164147,2/2/2017,2/5/2017,First Class,DW-13585,Corporate,OFF-PA-10002377,6,78.304,2,0.2,29.364
US-2017-164147,2/2/2017,2/5/2017,First Class,DW-13585,Corporate,OFF-FA-10002780,12,21.456,9,0.2,6.9732
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Consumer,OFF-PA-10001804,5,20.04,3,0,9.6192
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Consumer,OFF-PA-10001736,14,35.44,1,0,16.6568
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Consumer,OFF-AR-10001149,11,11.52,4,0,3.456
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Consumer,OFF-FA-10002988,2,4.02,2,0,1.9698
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Consumer,OFF-BI-10004781,11,76.176,3,0.2,26.6616
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Consumer,OFF-SU-10001218,1,65.88,6,0,18.4464
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Consumer,FUR-FU-10001706,8,43.12,14,0,20.6976
CA-2016-110366,9/5/2016,9/7/2016,Second Class,JD-15895,Corporate,FUR-FU-10004848,14,82.8,2,0.2,10.35
CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,Corporate,OFF-AR-10000940,20,8.82,3,0,2.3814
CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,Corporate,OFF-EN-10004030,18,10.86,3,0,5.1042
CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,Corporate,OFF-PA-10004327,17,143.7,3,0,68.976
CA-2017-155376,12/22/2017,12/27/2017,Standard Class,SG-20080,Consumer,OFF-AP-10001058,8,839.43,3,0,218.2518
CA-2015-110744,9/7/2015,9/12/2015,Standard Class,HA-14920,Consumer,OFF-ST-10003656,12,671.93,7,0,20.1579
CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680,Home Office,FUR-FU-10000521,9,93.888,4,0.2,12.9096
CA-2016-114489,12/5/2016,12/9/2016,Standard Class,JE-16165,Corporate,TEC-PH-10000215,20,384.45,11,0,103.8015
CA-2016-114489,12/5/2016,12/9/2016,Standard Class,JE-16165,Corporate,TEC-PH-10001448,5,149.97,3,0,5.9988
CA-2016-114489,12/5/2016,12/9/2016,Standard Class,JE-16165,Corporate,FUR-CH-10000454,14,1951.84,8,0,585.552
CA-2016-114489,12/5/2016,12/9/2016,Standard Class,JE-16165,Corporate,OFF-BI-10002735,13,171.55,5,0,80.6285
CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025,Home Office,OFF-AP-10000326,8,157.92,5,0.2,17.766
CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025,Home Office,TEC-PH-10001254,3,203.184,2,0.2,15.2388
CA-2015-124919,5/31/2015,6/2/2015,First Class,SP-20650,Corporate,OFF-PA-10001950,17,58.38,7,0,26.271
CA-2015-124919,5/31/2015,6/2/2015,First Class,SP-20650,Corporate,OFF-PA-10002254,14,105.52,4,0,48.5392
CA-2015-124919,5/31/2015,6/2/2015,First Class,SP-20650,Corporate,OFF-ST-10001590,5,80.88,6,0,21.0288
CA-2015-118948,5/28/2015,6/3/2015,Standard Class,NK-18490,Home Office,OFF-AR-10001547,4,6.63,3,0,1.7901
CA-2014-104269,3/1/2014,3/6/2014,Second Class,DB-13060,Consumer,FUR-CH-10004063,2,457.568,2,0.2,51.4764
CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670,Consumer,OFF-LA-10002475,18,14.62,2,0,6.8714
CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670,Consumer,TEC-PH-10004536,9,944.93,7,0,236.2325
CA-2016-162733,5/11/2016,5/12/2016,First Class,TT-21070,Consumer,OFF-PA-10002751,16,5.98,1,0,2.691
CA-2015-119697,12/28/2015,12/31/2015,Second Class,EM-13960,Consumer,TEC-AC-10003657,10,54.384,2,0.2,1.3596
CA-2016-154508,11/16/2016,11/20/2016,Standard Class,RD-19900,Consumer,OFF-EN-10001990,14,28.4,5,0,13.348
CA-2016-113817,11/7/2016,11/11/2016,Standard Class,MJ-17740,Consumer,OFF-BI-10004002,5,27.68,2,0.2,9.688
CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,Consumer,OFF-AR-10004441,12,9.936,3,0.2,2.7324
CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,Consumer,TEC-MA-10000822,16,8159.952,8,0.4,-1359.992
CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,Consumer,OFF-ST-10000991,3,275.928,3,0.2,-58.6347
CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,Consumer,FUR-CH-10004287,16,1740.06,9,0.3,-24.858
CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,Consumer,OFF-AR-10002656,7,32.064,6,0.2,6.8136
CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,Consumer,OFF-AP-10002518,8,177.98,5,0.8,-453.849
CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,Consumer,TEC-PH-10003931,6,143.976,3,0.2,8.9985
CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,Consumer,OFF-PA-10000659,15,20.94,3,0,9.8418
CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,Consumer,OFF-PA-10001144,8,110.96,2,0,53.2608
CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,Consumer,FUR-CH-10003817,1,340.144,7,0.2,21.259
US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400,Corporate,OFF-AP-10000891,20,52.448,2,0.8,-131.12
US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400,Corporate,OFF-LA-10003148,1,20.16,4,0.2,6.552
US-2017-152366,4/21/2017,4/25/2017,Second Class,SJ-20500,Consumer,OFF-AP-10002684,12,97.264,4,0.8,-243.16
US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745,Consumer,FUR-CH-10004698,3,396.802,7,0.3,-11.3372
US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745,Consumer,OFF-SU-10002189,11,15.88,5,0.2,-3.7715
CA-2015-137225,12/15/2015,12/19/2015,Standard Class,JK-15640,Home Office,OFF-AR-10001940,13,3.28,1,0,1.4104
CA-2014-166191,12/5/2014,12/9/2014,Second Class,DK-13150,Corporate,OFF-ST-10003455,7,24.816,2,0.2,1.8612
CA-2014-166191,12/5/2014,12/9/2014,Second Class,DK-13150,Corporate,TEC-AC-10004659,20,408.744,7,0.2,76.6395
CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,Home Office,TEC-PH-10003273,9,503.96,4,0,131.0296
CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,Home Office,TEC-PH-10004896,2,149.95,5,0,41.986
CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,Home Office,TEC-AC-10002345,6,29,2,0,7.25
CA-2016-105018,11/28/2016,12/2/2016,Standard Class,SK-19990,Consumer,OFF-BI-10001890,5,7.16,2,0,3.4368
CA-2014-123260,8/26/2014,8/30/2014,Standard Class,FM-14290,Home Office,TEC-AC-10002323,9,176.8,8,0,22.984
CA-2016-157000,7/16/2016,7/22/2016,Standard Class,AM-10360,Corporate,OFF-ST-10001328,5,37.224,3,0.2,3.7224
CA-2016-157000,7/16/2016,7/22/2016,Standard Class,AM-10360,Corporate,OFF-PA-10001950,12,20.016,3,0.2,6.255
CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,Home Office,FUR-BO-10002613,2,899.136,4,0.2,112.392
CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,Home Office,TEC-PH-10001552,13,71.76,6,0,20.0928
CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,Home Office,OFF-PA-10000061,6,51.84,8,0,24.8832
CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,Home Office,FUR-BO-10002545,2,626.352,3,0.2,46.9764
CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,Home Office,OFF-AR-10003514,11,19.9,5,0,6.567
CA-2015-131457,10/31/2015,11/6/2015,Standard Class,MZ-17515,Corporate,OFF-EN-10001509,11,14.28,7,0,6.7116
CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025,Consumer,OFF-AR-10004685,7,7.408,2,0.2,1.2038
CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025,Consumer,OFF-AR-10004027,19,6.048,3,0.2,1.5876
CA-2017-107720,11/6/2017,11/13/2017,Standard Class,VM-21685,Home Office,OFF-ST-10001414,13,46.26,3,0,12.0276
US-2017-124303,7/6/2017,7/13/2017,Standard Class,FH-14365,Corporate,OFF-BI-10000343,12,2.946,2,0.7,-2.2586
US-2017-124303,7/6/2017,7/13/2017,Standard Class,FH-14365,Corporate,OFF-PA-10002749,6,16.056,3,0.2,5.8203
CA-2017-105074,6/24/2017,6/29/2017,Standard Class,MB-17305,Consumer,OFF-PA-10002666,17,21.744,3,0.2,6.795
CA-2014-133690,8/3/2014,8/5/2014,First Class,BS-11755,Consumer,FUR-TA-10004289,18,218.75,2,0.5,-161.875
CA-2014-133690,8/3/2014,8/5/2014,First Class,BS-11755,Consumer,OFF-AP-10003622,20,2.6,1,0.2,0.2925
US-2017-116701,12/17/2017,12/21/2017,Second Class,LC-17140,Consumer,OFF-AP-10003217,17,66.284,2,0.8,-178.9668
CA-2017-126382,6/3/2017,6/7/2017,Standard Class,HK-14890,Corporate,FUR-FU-10002960,14,35.168,7,0.2,9.6712
CA-2017-108329,12/9/2017,12/14/2017,Standard Class,LE-16810,Consumer,TEC-PH-10001918,17,444.768,4,0.2,44.4768
CA-2017-135860,12/1/2017,12/7/2017,Standard Class,JH-15985,Consumer,OFF-ST-10000642,10,83.92,4,0,5.8744
CA-2017-135860,12/1/2017,12/7/2017,Standard Class,JH-15985,Consumer,TEC-PH-10001700,19,131.98,2,0,35.6346
CA-2017-135860,12/1/2017,12/7/2017,Standard Class,JH-15985,Consumer,OFF-BI-10003274,12,15.92,4,0,7.4824
